Ticket No,Request ID,RequestorSeniority,FiledAgainst,TicketType,Severity,Priority,Max Day
22414,1763,3 - Senior,Access/Login,Request,2 - Normal,High Priority,0.0
46096,344,4 - Management,Hardware,Request,2 - Normal,3 - High,10.0
43000,564,2 - Regular,Software,Request,3 - Major,2 - Medium,8.0
14453,939,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
4541,240,2 - Regular,Systems,,2 - Normal,3 - High,15.0
46018,648,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0.0
23628,24,4 - Management,Systems,Request,3 - Major,High Priority,7.0
2312,248,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0.0
22162,257,,Systems,Request,2 - Normal,3 - High,9.0
26723,974,4 - Management,Access/Login,Request,2 - Normal,,0.0
7284,104,4 - Management,Access/Login,,2 - Normal,3 - High,1.0
24311,158,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,6.0
21674,178,2 - Regular,Systems,Issue,Unknown,1 - Low,12.0
31417,425,2 - Regular,Systems,Request,2 - Normal,1 - Low,
632,1555,2 - Regular,Systems,Request,2 - Normal,3 - High,8.0
31646,935,2 - Regular,Software,Request,2 - Normal,1 - Low,11.0
16779,186,3 - Senior,Hardware,Request,2 - Normal,3 - High,
34284,1248,1 - Junior,Software,Issue,2 - Normal,0 - Unassigned,6.0
35209,835,2 - Regular,Software,Request,2 - Normal,3 - High,4.0
33672,539,3 - Senior,Access/Login,Issue,3 - Major,0 - Unassigned,0.0
28286,495,4 - Management,Software,Request,2 - Normal,2 - Medium,
20809,999,4 - Management,Systems,Request,1 - Minor,3 - High,6.0
1653,236,2 - Regular,Systems,Request,,0 - Unassigned,7.0
38404,481,3 - Senior,Software,Request,4 - Critical,3 - High,4.0
46778,467,2 - Regular,Systems,Request,Unknown,3 - High,8.0
31028,1611,3 - Senior,Access/Login,Issue,Unknown,3 - High,0.0
19200,853,2 - Regular,System,Req,2 - Normal,0 - Unassigned,29.0
27729,1347,2 - Regular,Software,Request,2 - Normal,3 - High,9.0
47743,1484,1 - Junior,Systems,Issue,2 - Normal,1 - Low,1.0
34529,283,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,5.0
15012,1957,2 - Regular,Access/Login,Req,2 - Normal,1 - Low,0.0
13926,1163,4 - Management,Systems,Request,2 - Normal,3 - High,14.0
1620,1093,2 - Regular,Hardware,Request,2 - Normal,1 - Low,12.0
14005,1796,,Software,Request,Unknown,2 - Medium,11.0
21247,1095,,Systems,Request,2 - Normal,0 - Unassigned,14.0
23821,1037,1 - Junior,Hardware,Request,2 - Normal,0 - Unassigned,29.0
30266,479,2 - Regular,Access/Login,Request,3 - Major,2 - Medium,0.0
2049,1647,1 - Junior,Access/Login,Request,2 - Normal,2 - Medium,0.0
11128,1254,3 - Senior,Systems,Request,2 - Normal,3 - High,6.0
34479,408,4 - Management,Access/Login,,2 - Normal,3 - High,0.0
42833,301,3 - Senior,Systems,Issue,2 - Normal,3 - High,1.0
19490,1207,1 - Junior,Access/Login,,,2 - Medium,0.0
40607,1393,2 - Regular,Systems,Request,Unknown,0 - Unassigned,15.0
32629,1905,3 - Senior,Systems,Issue,2 - Normal,3 - High,7.0
11644,523,2 - Regular,Systems,Issue,3 - Major,3 - High,3.0
15912,1179,4 - Management,Systems,Request,2 - Normal,3 - High,11.0
45592,1821,1 - Junior,Systems,Issue,2 - Normal,2 - Medium,5.0
37002,647,1 - Junior,Access/Login,,2 - Normal,1 - Low,1.0
16299,1642,3 - Senior,Systems,Req,2 - Normal,3 - High,10.0
23703,411,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,21.0
34170,1414,1 - Junior,Software,,2 - Normal,2 - Medium,4.0
43840,388,3 - Senior,Software,Issue,2 - Normal,3 - High,4.0
23129,1894,,System,Request,2 - Normal,3 - High,
4750,327,,Systems,Request,2 - Normal,3 - High,6.0
1868,1514,3 - Senior,Systems,Req,2 - Normal,,5.0
12850,919,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,
10448,1711,,Access/Login,Issue,4 - Critical,3 - High,0.0
6731,1443,2 - Regular,Access/Login,Request,3 - Major,3 - High,0.0
20588,1434,1 - Junior,Software,Request,2 - Normal,0 - Unassigned,16.0
18078,276,2 - Regular,Hardware,,2 - Normal,3 - High,
43574,632,2 - Regular,Systems,Request,2 - Normal,,14.0
26468,1042,1 - Junior,Systems,Issue,1 - Minor,,6.0
25010,1144,3 - Senior,Access/Login,,2 - Normal,3 - High,0.0
39756,1498,3 - Senior,Hardware,Request,2 - Normal,3 - High,10.0
18455,726,2 - Regular,Access/Login,Req,2 - Normal,1 - Low,0.0
1498,1297,4 - Management,Software,Request,2 - Normal,3 - High,5.0
48596,210,3 - Senior,Systems,Issue,2 - Normal,2 - Medium,10.0
40311,1799,4 - Management,Systems,Request,2 - Normal,3 - High,7.0
10078,341,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
13341,1312,4 - Management,Access/Login,Request,Unknown,3 - High,0.0
11780,643,1 - Junior,Systems,Request,3 - Major,1 - Low,12.0
6189,646,2 - Regular,Access/Login,Request,3 - Major,2 - Medium,1.0
38831,29,2 - Regular,Hardware,Request,2 - Normal,1 - Low,33.0
25432,1,1 - Junior,Software,Issue,2 - Normal,2 - Medium,8.0
33601,933,2 - Regular,Software,Issue,2 - Normal,1 - Low,2.0
41214,551,4 - Management,Systems,Issue,2 - Normal,High Priority,10.0
5782,489,2 - Regular,Software,Issue,,0 - Unassigned,17.0
46502,1760,3 - Senior,Hardware,Issue,2 - Normal,0 - Unassigned,5.0
23041,449,4 - Management,Systems,Request,2 - Normal,3 - High,6.0
13579,1009,3 - Senior,Systems,Req,2 - Normal,High Priority,2.0
40162,801,4 - Management,Systems,Issue,2 - Normal,3 - High,1.0
36241,660,4 - Management,Hardware,Request,2 - Normal,0 - Unassigned,11.0
22715,1314,,Systems,Issue,2 - Normal,0 - Unassigned,1.0
29851,364,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,11.0
45012,1996,3 - Senior,Systems,Request,2 - Normal,3 - High,13.0
16583,388,3 - Senior,System,Request,,,0.0
23659,1782,4 - Management,Hardware,Request,1 - Minor,3 - High,14.0
43157,175,1 - Junior,Software,Request,,2 - Medium,10.0
18254,1140,2 - Regular,Systems,,2 - Normal,0 - Unassigned,6.0
40049,1388,4 - Management,,Request,2 - Normal,3 - High,-1.0
21160,1253,2 - Regular,Systems,Request,2 - Normal,3 - High,6.0
38911,651,,Access/Login,Request,2 - Normal,3 - High,0.0
40450,851,,Systems,Request,2 - Normal,2 - Medium,14.0
13778,1590,4 - Management,,Issue,2 - Normal,3 - High,3.0
18785,739,4 - Management,Systems,Request,Unknown,3 - High,7.0
40232,815,2 - Regular,Software,Req,2 - Normal,3 - High,2.0
41351,406,4 - Management,Access/Login,Request,2 - Normal,3 - High,0.0
10769,650,2 - Regular,Access/Login,Req,2 - Normal,3 - High,0.0
1582,1302,1 - Junior,Systems,Request,,1 - Low,22.0
17099,968,2 - Regular,Systems,Issue,2 - Normal,3 - High,2.0
25558,1856,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,1.0
20499,882,3 - Senior,Software,Issue,Unknown,0 - Unassigned,
10594,515,3 - Senior,,Issue,1 - Minor,2 - Medium,2.0
38118,1103,4 - Management,Access/Login,Request,2 - Normal,High Priority,0.0
44345,1483,3 - Senior,Software,Request,2 - Normal,3 - High,6.0
24314,1274,3 - Senior,Systems,Request,,0 - Unassigned,9.0
46539,1035,1 - Junior,Systems,Request,2 - Normal,1 - Low,19.0
38379,1247,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,1.0
44135,177,3 - Senior,Systems,Request,,,18.0
3346,745,4 - Management,Access/Login,Issue,2 - Normal,0 - Unassigned,0.0
10764,669,3 - Senior,Systems,Request,2 - Normal,2 - Medium,13.0
47389,912,1 - Junior,Hardware,Issue,2 - Normal,1 - Low,23.0
15728,1995,4 - Management,,Issue,2 - Normal,0 - Unassigned,
19396,1490,2 - Regular,Hardware,,3 - Major,3 - High,10.0
23999,331,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,0.0
36475,1186,3 - Senior,,Request,2 - Normal,0 - Unassigned,5.0
15216,1115,1 - Junior,,Request,2 - Normal,0 - Unassigned,14.0
32420,355,,Systems,,2 - Normal,1 - Low,3.0
16239,337,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,6.0
31358,215,3 - Senior,Hardware,Issue,,,6.0
15913,326,2 - Regular,Systems,Issue,2 - Normal,2 - Medium,6.0
47958,529,2 - Regular,Systems,Request,2 - Normal,3 - High,5.0
49253,741,1 - Junior,Access/Login,Request,Unknown,0 - Unassigned,0.0
21994,889,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
11901,1382,3 - Senior,Systems,Request,2 - Normal,3 - High,6.0
18706,307,4 - Management,Hardware,Request,2 - Normal,0 - Unassigned,
29625,1629,3 - Senior,Software,Issue,Unknown,3 - High,6.0
49727,1383,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,5.0
9801,852,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,0.0
13170,41,2 - Regular,Access/Login,Issue,2 - Normal,2 - Medium,-1.0
30061,565,2 - Regular,Access/Login,Request,3 - Major,1 - Low,1.0
22252,421,2 - Regular,,Issue,2 - Normal,1 - Low,-1.0
2276,1040,2 - Regular,Systems,Request,2 - Normal,1 - Low,26.0
34566,1683,,Software,,2 - Normal,3 - High,4.0
49115,217,2 - Regular,Software,Issue,2 - Normal,0 - Unassigned,-1.0
49022,1862,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,11.0
49743,1905,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
44090,1865,3 - Senior,Access/Login,Request,2 - Normal,3 - High,1.0
17939,599,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,15.0
20623,322,3 - Senior,Systems,Request,2 - Normal,3 - High,16.0
31922,127,4 - Management,,Request,4 - Critical,0 - Unassigned,
45551,1795,1 - Junior,Software,Request,2 - Normal,1 - Low,
32868,388,3 - Senior,Access/Login,Request,1 - Minor,0 - Unassigned,193.0
13528,1611,3 - Senior,Systems,Request,Unknown,0 - Unassigned,142.0
4058,1235,2 - Regular,Software,Request,,2 - Medium,7.0
48685,502,2 - Regular,Systems,Request,2 - Normal,High Priority,10.0
13615,1362,2 - Regular,Access/Login,Request,3 - Major,3 - High,0.0
21914,1909,2 - Regular,,Req,2 - Normal,3 - High,111.0
15640,202,4 - Management,Systems,Request,,0 - Unassigned,5.0
45278,978,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
36454,742,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,13.0
6196,510,1 - Junior,Access/Login,Request,2 - Normal,High Priority,0.0
21813,845,2 - Regular,Access/Login,Request,2 - Normal,High Priority,0.0
49550,483,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,
2820,529,2 - Regular,Access/Login,Issue,3 - Major,0 - Unassigned,0.0
21919,1922,1 - Junior,,Request,2 - Normal,,13.0
24911,1507,2 - Regular,Systems,Issue,2 - Normal,1 - Low,3.0
27006,986,2 - Regular,Systems,Issue,2 - Normal,High Priority,1.0
14427,800,2 - Regular,Systems,Request,2 - Normal,,
25642,1165,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
10179,79,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0.0
11055,16,4 - Management,Systems,Request,2 - Normal,High Priority,5.0
1906,393,,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
14534,1919,2 - Regular,Systems,Request,,1 - Low,8.0
7852,1778,2 - Regular,Software,Request,2 - Normal,1 - Low,7.0
32052,991,2 - Regular,Software,Request,2 - Normal,3 - High,4.0
18946,1423,2 - Regular,Software,Issue,2 - Normal,2 - Medium,3.0
11954,1970,2 - Regular,,Issue,2 - Normal,2 - Medium,0.0
6846,1949,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,6.0
11028,1835,1 - Junior,Systems,Request,2 - Normal,1 - Low,9.0
14002,1062,2 - Regular,Software,Issue,2 - Normal,3 - High,3.0
4002,693,2 - Regular,Systems,Issue,2 - Normal,1 - Low,6.0
6842,1011,2 - Regular,Access/Login,Req,4 - Critical,1 - Low,1.0
28997,1312,4 - Management,Systems,Request,,0 - Unassigned,6.0
5433,1516,2 - Regular,Access/Login,Req,2 - Normal,,0.0
26322,324,2 - Regular,Software,Request,2 - Normal,,9.0
41307,1566,2 - Regular,System,Request,2 - Normal,3 - High,7.0
35101,1029,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,7.0
32598,1310,2 - Regular,Systems,Request,2 - Normal,,21.0
26327,1947,3 - Senior,Access/Login,Issue,2 - Normal,0 - Unassigned,2.0
22132,574,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,3.0
36297,991,2 - Regular,Systems,Request,2 - Normal,3 - High,18.0
14455,52,2 - Regular,Access/Login,Request,2 - Normal,,
25187,1293,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,1.0
18798,948,1 - Junior,Software,Issue,2 - Normal,1 - Low,2.0
37460,1528,4 - Management,Hardware,Request,Unknown,3 - High,30.0
46998,27,1 - Junior,Systems,Request,2 - Normal,2 - Medium,5.0
49188,1373,3 - Senior,Systems,Request,,3 - High,5.0
3720,1398,4 - Management,Software,Request,2 - Normal,0 - Unassigned,5.0
21635,1260,3 - Senior,Access/Login,Request,0 - Unclassified,2 - Medium,1.0
37026,1670,3 - Senior,Software,Issue,2 - Normal,3 - High,3.0
48224,1139,3 - Senior,Access/Login,Request,2 - Normal,1 - Low,0.0
33623,254,1 - Junior,Systems,Request,2 - Normal,2 - Medium,
12936,926,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,5.0
18008,926,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0.0
7391,1740,3 - Senior,Systems,Issue,4 - Critical,0 - Unassigned,7.0
1112,298,3 - Senior,Software,Request,2 - Normal,2 - Medium,12.0
34437,457,1 - Junior,Systems,Request,2 - Normal,1 - Low,17.0
49493,1014,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
17316,1360,4 - Management,Hardware,Request,2 - Normal,3 - High,33.0
25084,648,2 - Regular,Hardware,Request,2 - Normal,0 - Unassigned,13.0
12214,1432,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0.0
4431,2000,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,0.0
39772,579,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,7.0
46739,787,2 - Regular,Software,Request,2 - Normal,2 - Medium,
34674,630,1 - Junior,Systems,Issue,2 - Normal,0 - Unassigned,5.0
244,1011,2 - Regular,Software,Issue,2 - Normal,2 - Medium,2.0
33884,181,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,9.0
35475,1785,2 - Regular,Systems,Request,2 - Normal,3 - High,7.0
33846,912,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,1.0
9165,806,3 - Senior,,Request,2 - Normal,3 - High,4.0
35312,457,1 - Junior,,Request,2 - Normal,3 - High,17.0
19250,1537,2 - Regular,Systems,Request,2 - Normal,1 - Low,12.0
2745,1980,4 - Management,,Request,2 - Normal,0 - Unassigned,5.0
21578,1739,2 - Regular,Systems,Request,2 - Normal,2 - Medium,17.0
28581,1467,2 - Regular,Access/Login,Request,,0 - Unassigned,0.0
36162,1431,4 - Management,Systems,Issue,2 - Normal,,2.0
25629,1145,1 - Junior,Access/Login,,2 - Normal,0 - Unassigned,0.0
11563,1831,3 - Senior,System,Issue,2 - Normal,3 - High,7.0
31226,771,1 - Junior,System,Request,2 - Normal,1 - Low,
7765,919,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,11.0
5582,1335,4 - Management,Systems,Issue,2 - Normal,,8.0
41530,242,,Systems,Request,2 - Normal,3 - High,
34963,1093,,Systems,Request,2 - Normal,1 - Low,137.0
32925,448,4 - Management,Access/Login,Request,,2 - Medium,0.0
48767,394,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,
27186,421,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,6.0
15329,1567,1 - Junior,Hardware,Req,2 - Normal,3 - High,
22623,1522,2 - Regular,Access/Login,Request,2 - Normal,3 - High,
48101,1987,1 - Junior,Systems,Issue,,3 - High,-1.0
6900,1644,4 - Management,Systems,Request,Unknown,0 - Unassigned,5.0
1395,719,4 - Management,Systems,Issue,2 - Normal,,5.0
35131,515,3 - Senior,,Request,2 - Normal,High Priority,5.0
23704,103,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
5699,839,4 - Management,System,Issue,2 - Normal,3 - High,1.0
24097,651,4 - Management,Software,Issue,4 - Critical,0 - Unassigned,0.0
24970,1987,1 - Junior,Software,Issue,4 - Critical,3 - High,2.0
42652,339,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0.0
33688,1342,3 - Senior,Software,Issue,2 - Normal,3 - High,1.0
41844,1457,4 - Management,Systems,Request,2 - Normal,2 - Medium,13.0
22781,1989,4 - Management,Access/Login,Issue,1 - Minor,0 - Unassigned,0.0
31283,1892,1 - Junior,Systems,Request,2 - Normal,2 - Medium,
32508,1720,3 - Senior,Access/Login,Issue,2 - Normal,High Priority,0.0
19296,1640,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0.0
23141,1565,2 - Regular,Systems,Request,2 - Normal,1 - Low,
3580,136,1 - Junior,Systems,Issue,2 - Normal,1 - Low,2.0
29241,1012,3 - Senior,Systems,Request,Unknown,2 - Medium,7.0
19802,652,4 - Management,Hardware,Request,2 - Normal,0 - Unassigned,13.0
514,1456,4 - Management,Systems,,2 - Normal,3 - High,7.0
45805,688,1 - Junior,Software,Issue,,0 - Unassigned,7.0
23994,183,2 - Regular,Systems,,2 - Normal,3 - High,6.0
33661,118,2 - Regular,Access/Login,Issue,2 - Normal,2 - Medium,
8279,1095,2 - Regular,Systems,Request,2 - Normal,3 - High,20.0
2842,1680,2 - Regular,Software,Request,,2 - Medium,9.0
33861,1421,4 - Management,Systems,Req,,3 - High,1.0
44758,1121,2 - Regular,Software,Issue,2 - Normal,,9.0
26315,1300,2 - Regular,Hardware,Req,3 - Major,3 - High,12.0
44131,226,4 - Management,Access/Login,Issue,3 - Major,,0.0
49615,398,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0.0
31937,697,4 - Management,System,Issue,2 - Normal,2 - Medium,0.0
14080,508,3 - Senior,Systems,Request,2 - Normal,3 - High,24.0
18136,1305,,Software,Request,2 - Normal,0 - Unassigned,3.0
26280,612,3 - Senior,Systems,Request,2 - Normal,3 - High,6.0
6598,862,4 - Management,Hardware,Request,2 - Normal,3 - High,10.0
21330,1290,2 - Regular,Systems,Request,2 - Normal,3 - High,18.0
942,459,1 - Junior,Systems,Request,2 - Normal,1 - Low,5.0
12277,374,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,
36432,97,2 - Regular,Systems,Request,3 - Major,3 - High,13.0
43372,229,3 - Senior,Systems,Request,2 - Normal,3 - High,9.0
8701,978,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,1.0
16868,1893,2 - Regular,System,Issue,2 - Normal,2 - Medium,0.0
19273,1617,4 - Management,Access/Login,Request,2 - Normal,1 - Low,0.0
18327,825,2 - Regular,System,Req,2 - Normal,3 - High,
40649,215,3 - Senior,,,3 - Major,0 - Unassigned,22.0
1369,1672,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,4.0
22494,1646,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,7.0
38852,799,3 - Senior,Systems,Issue,2 - Normal,3 - High,2.0
30725,1572,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,1.0
14014,1330,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0.0
23524,313,4 - Management,Access/Login,Request,2 - Normal,3 - High,0.0
47372,1637,3 - Senior,Access/Login,,2 - Normal,3 - High,0.0
31261,267,2 - Regular,Systems,Request,2 - Normal,3 - High,18.0
25452,1344,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
39994,1048,2 - Regular,Systems,Request,2 - Normal,3 - High,6.0
9079,894,2 - Regular,Systems,Request,2 - Normal,1 - Low,22.0
11596,1688,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,6.0
10277,1054,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,17.0
5726,1874,1 - Junior,Systems,Request,2 - Normal,2 - Medium,15.0
47678,904,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,2.0
13587,1696,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,5.0
43587,1246,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,1.0
207,1452,1 - Junior,Software,Request,2 - Normal,,4.0
40228,162,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0.0
26604,407,,,Request,2 - Normal,2 - Medium,-1.0
21024,106,1 - Junior,Software,Request,,,8.0
38585,332,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,0.0
11053,371,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,30.0
10671,1524,1 - Junior,Software,Request,2 - Normal,0 - Unassigned,8.0
41196,834,,Systems,Request,2 - Normal,2 - Medium,7.0
21563,1749,2 - Regular,Hardware,Request,2 - Normal,1 - Low,
4930,1805,4 - Management,Software,Issue,,3 - High,1.0
41215,1645,2 - Regular,Systems,Request,2 - Normal,,7.0
8190,930,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,26.0
21651,476,3 - Senior,Systems,Request,3 - Major,3 - High,20.0
31498,410,2 - Regular,Systems,,2 - Normal,3 - High,2.0
13600,160,,Systems,Request,,0 - Unassigned,18.0
5110,1989,4 - Management,Software,Request,2 - Normal,3 - High,7.0
13771,1730,1 - Junior,Software,Request,2 - Normal,1 - Low,10.0
45960,1864,2 - Regular,Software,,2 - Normal,1 - Low,2.0
22769,2,2 - Regular,Systems,,2 - Normal,0 - Unassigned,6.0
32209,1293,2 - Regular,,Request,2 - Normal,3 - High,6.0
27645,1940,4 - Management,Access/Login,Issue,2 - Normal,0 - Unassigned,1.0
203,177,3 - Senior,Systems,Request,2 - Normal,2 - Medium,5.0
3139,90,4 - Management,Software,Request,3 - Major,0 - Unassigned,3.0
7131,507,2 - Regular,Systems,Request,2 - Normal,2 - Medium,13.0
40292,367,2 - Regular,Systems,Request,1 - Minor,0 - Unassigned,17.0
2652,1823,4 - Management,Hardware,Issue,2 - Normal,3 - High,7.0
14500,1741,,Systems,Request,2 - Normal,3 - High,13.0
41049,598,1 - Junior,Hardware,Request,2 - Normal,High Priority,10.0
10374,1133,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,9.0
45026,1247,3 - Senior,Systems,Request,2 - Normal,3 - High,5.0
24915,720,4 - Management,Access/Login,Request,2 - Normal,,0.0
2505,1640,3 - Senior,Systems,Request,3 - Major,0 - Unassigned,16.0
38169,1227,2 - Regular,Access/Login,Request,2 - Normal,3 - High,-1.0
3353,1629,3 - Senior,Systems,Request,2 - Normal,3 - High,17.0
40149,1327,2 - Regular,Software,Request,2 - Normal,3 - High,3.0
48261,369,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0.0
14882,1012,3 - Senior,Access/Login,Request,2 - Normal,1 - Low,0.0
2121,81,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,9.0
15785,1547,3 - Senior,Hardware,,2 - Normal,0 - Unassigned,10.0
27319,805,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,16.0
20135,1351,2 - Regular,Systems,Request,2 - Normal,1 - Low,14.0
8268,420,3 - Senior,Software,,2 - Normal,0 - Unassigned,6.0
18780,666,,Software,Issue,2 - Normal,0 - Unassigned,-1.0
